table_name,ingest_tag,size_tag
hl_req_info_base,ADT,XS
hl_req_status_audit_base,ADT,S
hno_info_base,Notes,XL
hno_note_text_base,Notes,XL
hsc_req_comments_base,null,XS
hsc_spec_attribute_base,null,XS
hsc_spec_comments_base,null,XS
hsc_spec_info_base,null,S
hsd_base_class_map_base,null,XS
hsp_account_base,HAR,M
hsp_account_2_base,null,M
hsp_account_3_base,HAR,M
hsp_acct_admit_dx_base,null,M
hsp_acct_bill_ind_base,null,M
hsp_acct_bwq_list_base,null,XS
hsp_acct_cdsts_hx_base,null,M
hsp_acct_cl_ag_his_base,null,M
hsp_acct_cond_har_base,null,XS
hsp_acct_cpt_codes_base,HAR,S
hsp_acct_cvg_list_base,null,M
hsp_acct_dnb_sb_hx_base,null,M
hsp_acct_dx_list_base,HAR,M
hsp_acct_ecddx_alt_base,null,XS
hsp_acct_events_base,HAR,S
hsp_acct_extinj_cd_base,null,S
hsp_acct_findx_alt_base,HAR,S
hsp_acct_icdpx_alt_base,null,XS
hsp_acct_ins_bkts_base,null,M
hsp_acct_last_update_base,HAR,M
hsp_acct_letters_base,null,S
hsp_acct_mult_drgs_base,null,S
hsp_acct_notes_base,null,XL
hsp_acct_ocur_har_base,null,S
hsp_acct_othr_prov_base,null,M
hsp_acct_pat_csn_base,null,M
hsp_acct_pat_mrn_base,null,M
hsp_acct_px_list_base,HAR,S
hsp_acct_sbo_base,HAR,M
hsp_acct_splvl_hx_base,null,M
hsp_acct_stmt_rsn_base,null,S
hsp_acct_stop_bill_base,null,XS
hsp_acct_sys_act_base,null,M
hsp_acct_valu_har_base,null,XS
hsp_acct_workqueue_list_base,null,XS
hsp_acct_wqi_rules_base,null,XS
hsp_acct_wq_items_base,null,M
hsp_admit_diag_base,HAR,M
hsp_atnd_prov_base,null,M
hsp_bdc_base,null,XS
hsp_bfh_activity_base,null,M
hsp_bfh_act_data_base,null,M
hsp_bkt_naa_adj_hx_base,null,M
hsp_bkt_no_wo_rsn_base,null,S
hsp_bkt_payment_base,null,M
hsp_bkt_replaces_base,null,S
hsp_bkt_xptrbmt_hx_base,null,XS
hsp_bucket_base,null,L
hsp_bwq_info_base,null,XS
hsp_claim_apc_grp_meta_base,null,M
hsp_claim_detail1_base,null,M
hsp_claim_detail2_base,null,M
hsp_claim_print_base,null,M
hsp_claim_xr_disp_base,null,L
hsp_clm_edit_error_base,null,M
hsp_clm_exp_allow_base,null,M
hsp_clp_cms_line_base,null,XL
hsp_clp_cms_tx_pieces_base,null,XL
hsp_clp_pmt_class_base,null,M
hsp_clp_rev_code_base,null,XL
hsp_clp_ub_tx_pieces_base,null,XL
hsp_db_prj_mon_sum_base,null,XS
hsp_db_sp_summary_base,null,M
hsp_dnb_current_base,null,XS
hsp_exec_summary_base,null,M
hsp_guar_pmt_plan_base,null,S
hsp_har_snapshot_base,null,XL
hsp_ld_mom_child_base,null,XS
hsp_rsh_chgrev_hx_base,null,XS
hsp_rsh_chgrev_hx_repl_base,null,XS
hsp_rsh_chgrev_qlfy_hx_base,null,XS
hsp_rules_info_base,null,XS
hsp_switch_settings_base,null,XS
hsp_transactions_base,Revenue,XL
hsp_transactions_2_base,Revenue,XL
hsp_trtmt_team_base,null,M
hsp_tx_modifiers_base,null,M
hsp_tx_ndc_codes_base,null,M
hsp_tx_rmt_cd_lst_base,null,M
hsp_workqueues_base,null,XS
hsp_wqi_hx_base,null,XS
hsp_wq_history_base,null,M
hv_order_proc_base,null,XL
ib_messages_base,InBasket,XL
ib_message_thread_base,null,L
identity_eap_id_base,null,XS
identity_id_base,Identity,M
identity_id_hx_base,Identity,M
identity_id_type_base,Identity,XS
immune_base,Immunizations,M
immune_history_base,Immunizations,M
interface_tbl_vals_base,null,XS
invoice_base,null,M
invoice_clm_ln_base,null,M
invoice_hx_base,null,XL
inv_basic_info_base,null,M
inv_clm_ln_addl_base,null,M
inv_num_tx_pieces_base,null,M
ip_data_store_base,null,M
ip_flo_gp_data_base,Flowsheets,XS
ip_flo_gp_data_2_base,Flowsheets,XS
ip_flt_comps_base,Flowsheets,XS
ip_flt_data_base,Flowsheets,XS
ip_flwsht_meas_base,Flowsheets,XL
ip_flwsht_rec_base,Flowsheets,M
ip_frequency_base,Frequency,XS
ip_mar_barcode_itm_base,null,null
lab_case_info_base,Labs,S
lab_info_base,Labs,XS
lab_profile_base,Labs,XS
lab_section_base,Labs,XS
lab_smt_acct_base,null,XS
lab_smt_address_base,null,XS
lab_smt_comm_num_base,null,XS
lab_smt_contacts_base,null,XS
lab_smt_ext_ids_base,null,XS
lab_smt_noadd_base,Labs,XS
lab_smt_overtime_base,null,XS
length_of_stay_base,null,S
lim_id_base,Immunizations,XS
linked_chargeables_base,Procedures,XS
lnc_db_main_base,Labs,XS
mar_addl_info_base,Meds,M
mar_admin_info_base,Meds,M
medical_hx_base,Meds,L
med_dispense_base,Meds,XL
myc_convo_base,null,M
myc_mesg_base,MyChart,M
myc_mesg_cncl_appt_base,null,XS
myc_mesg_cncl_rsn_base,null,XS
myc_patient_base,MyChart,S
myc_pt_addr_base,MyChart,XS
myc_pt_allergy_base,null,XS
myc_pt_email_addr_base,MyChart,XS
myc_pt_user_accss_base,MyChart,XL
note_enc_info_base,Notes,XL
ope_info_base,Orders,M
order_disp_comment_base,Orders,M
order_disp_info_base,Orders,XL
order_disp_meds_base,Orders,L
order_impression_base,Orders,L
order_instantiated_base,Orders,M
order_med_base,Orders,M
order_med_2_base,Orders,M
order_narrative_base,Orders,XL
order_parent_info_base,Orders,XL
order_proc_base,Orders,XL
order_proc_2_base,Orders,XL
order_proc_3_base,Orders,XL
order_rad_audit_base,Orders,L
order_res_base,Orders,M
order_results_base,Orders,XL
order_res_comment_base,Orders,L
order_res_comp_cmt_base,Orders,M
order_review_base,null,L
ord_appt_srl_num_base,Orders,M
ord_perf_chrg_base,Orders,S
or_case_base,Surgery,S
or_case_2_base,Surgery,S
or_case_all_proc_base,Surgery,S
or_case_all_surg_base,Surgery,S
or_case_anes_staf_base,Surgery,S
or_case_anes_tech_base,null,null
or_case_anes_type_base,null,XS
or_case_blocks_base,null,S
or_case_delays_base,null,XS
or_case_dx_code_base,Surgery,S
or_case_last_minute_canc_base,null,XS
or_case_prev_cancel_cases_base,null,null
or_case_virtual_base,Surgery,S
or_grp_base,Surgery,XS
or_imp_base,Surgery,S
or_imp_desc_base,null,XS
or_imp_explant_base,Surgery,XS
or_imp_implant_base,Surgery,S
or_lnlg_delay_base,Surgery,S
or_lnlg_delay_cmts_base,null,XS
or_lnlg_delay_rsns_base,Surgery,XS
or_lnlg_diag_cpts_base,null,S
or_loc_base,Surgery,XS
or_log_base,Surgery,M
or_log_2_base,Surgery,M
or_log_all_proc_base,Surgery,S
or_log_all_staff_base,Surgery,M
or_log_all_surg_base,Surgery,S
or_log_diag_codes_base,Surgery,XS
or_log_ln_delay_base,Surgery,S
or_log_ln_diagnos_base,null,S
or_log_postop_diag_base,Surgery,S
or_log_preceding_base,Surgery,M
or_log_preop_diags_base,Surgery,S
or_log_timing_events_base,Surgery,M
or_log_turnover_base,Surgery,S
or_log_virtual_base,Surgery,M
or_proc_base,Surgery,XS
or_sply_base,Surgery,XS
or_tank_base,Surgery,S
or_util_block_base,null,M
or_util_block_case_sum_base,Surgery,XS
or_util_block_summary_base,null,XS
patient_base,Patients,M
patient_2_base,Patients,M
patient_3_base,Patients,M
patient_4_base,Patients,M
patient_5_base,Patients,M
patient_hmt_status_base,HMT,M
patient_myc_base,null,null
patient_race_base,Patients,S
patient_type_base,Patients,XS
pat_acct_cvg_base,Coverages,M
pat_enc_base,Encounters,L
pat_enc_2_base,Encounters,L
pat_enc_3_base,Encounters,L
pat_enc_appt_base,Encounters,L
pat_enc_dx_base,Encounters,M
pat_enc_es_aud_act_base,Encounters,L
pat_enc_hosp_prob_base,Encounters,S
pat_enc_hsp_base,Encounters,M
pat_enc_hsp_2_base,Encounters,M
pat_enc_rsn_visit_base,Encounters,M
pat_hm_call_topic_base,null,XS
pat_hm_cur_guide_base,HMT,M
pat_hm_dev_gtwy_base,null,null
pat_hm_letter_base,null,M
pat_hm_topic_ovr_base,null,XS
pat_immunizations_base,null,M
pat_init_canc_base,Encounters,XS
pdmp_review_info_base,Meds,XS
pend_action_base,ADT,M
problem_list_base,Problems,M
problem_list_all_base,Problems,M
problem_list_hx_base,Problems,M
problem_notes_base,null,S
problem_note_props_base,null,S
prov_init_canc_base,Encounters,XS
referral_base,Referrals,M
referral_2_base,Referrals,M
referral_apt_base,Referrals,M
referral_message_base,Referrals,XS
referral_reasons_base,Referrals,S
referral_source_base,Referrals,XS
referral_src_addr_base,null,null
req_db_main_base,Labs,S
res_components_base,Labs,XL
res_db_main_base,Labs,M
res_vld_audit_base,Labs,M
rqg_db_main_base,Labs,XS
rsh_client_info_base,null,XS
rsh_research_info_base,null,XS
rtype_db_main_base,Labs,XS
rxnorm_codes_base,Meds,XS
rx_bc_match_meds_base,null,XS
rx_formulary_base,Meds,XS
rx_ndc_base,Meds,XS
rx_ndc_barcodes_base,null,XS
rx_phr_base,Meds,XS
rx_phr_routing_base,null,null
social_hx_base,Encounters,M
spec_db_main_base,Labs,M
spec_test_rel_base,Labs,M
ssi_doc_flowsht_base,null,null
surgical_hx_base,Surgery,M
survey_pat_enc_base,null,null
task_templates_base,ADT,XS
test_expiration_base,Labs,XS
test_mstr_db_main_base,Labs,XS
treatment_team_base,Encounters,M
txport_events_base,ADT,M
txport_req_info_base,ADT,S
utilization_base,null,S
utl_or_case_block_sum_p_base,null,S
utl_or_case_block_sum_s_base,null,S
valid_patient_base,Patients,M
v_case_on_time_start_base,null,XS
v_case_phys_turnover_base,null,XS
v_case_room_turnover_base,null,XS
v_coding_all_dx_px_list_base,null,XS
v_coding_combined_dx_list_base,null,XS
v_lab_results_base,null,XS
v_log_based_base,null,XS
v_or_util_block_case_sum_base,null,XS
v_or_util_block_summary_base,null,XS
v_lkp_clr_or_delay_reason_base,null,XS
workqueue_info_base,null,XS
x_abid_aah_hb_2019_00040_cdm_report_base,null,XS
lkp_clr_account_type_base,ZC_TABLES,XS
lkp_clr_acct_basecls_base,ZC_TABLES,null
lkp_clr_acct_basecls_ha_base,ZC_TABLES,XS
lkp_clr_acct_billsts_ha_base,ZC_TABLES,XS
lkp_clr_acct_class_ha_base,ZC_TABLES,XS
lkp_clr_acct_slfpyst_ha_base,ZC_TABLES,XS
lkp_clr_active_2_base,ZC_TABLES,XS
lkp_clr_acuity_level_base,ZC_TABLES,XS
lkp_clr_adjustment_cat_base,ZC_TABLES,XS
lkp_clr_admin_route_base,ZC_TABLES,XS
lkp_clr_alcohol_binge_base,ZC_TABLES,XS
lkp_clr_alcohol_drinks_per_day_base,ZC_TABLES,XS
lkp_clr_alcohol_freq_base,ZC_TABLES,XS
lkp_clr_alcohol_use_base,ZC_TABLES,XS
lkp_clr_allergen_type_base,ZC_TABLES,XS
lkp_clr_allergy_severit_base,ZC_TABLES,XS
lkp_clr_alrgy_status_base,ZC_TABLES,XS
lkp_clr_anesth_type_ha_base,ZC_TABLES,XS
lkp_clr_an_prov_grp_base,ZC_TABLES,XS
lkp_clr_appt_block_base,ZC_TABLES,XS
lkp_clr_appt_conf_stat_base,ZC_TABLES,XS
lkp_clr_appt_status_base,ZC_TABLES,XS
lkp_clr_arriv_means_base,ZC_TABLES,XS
lkp_clr_auth_stat_base,ZC_TABLES,XS
lkp_clr_bcc_rpt_grp_7_base,ZC_TABLES,XS
lkp_clr_bed_status_base,ZC_TABLES,XS
lkp_clr_billing_cat_base,ZC_TABLES,XS
lkp_clr_bkt_balance_status_base,ZC_TABLES,XS
lkp_clr_bkt_sts_ha_base,ZC_TABLES,XS
lkp_clr_bkt_type_ha_base,ZC_TABLES,XS
lkp_clr_brand_name_code_base,ZC_TABLES,XS
lkp_clr_cancel_reason_base,ZC_TABLES,XS
lkp_clr_center_base,ZC_TABLES,XS
lkp_clr_charge_stage_base,ZC_TABLES,XS
lkp_clr_chrg_amt_src_fl_base,ZC_TABLES,XS
lkp_clr_chrg_asa_base,ZC_TABLES,XS
lkp_clr_cleaning_protcl_base,ZC_TABLES,XS
lkp_clr_clinical_svc_base,ZC_TABLES,XS
lkp_clr_code_int_rsn_base,ZC_TABLES,XS
lkp_clr_code_type_base,ZC_TABLES,XS
lkp_clr_coding_sts_base,ZC_TABLES,null
lkp_clr_coding_sts_ha_base,ZC_TABLES,XS
lkp_clr_completn_sts_ha_base,ZC_TABLES,XS
lkp_clr_country_base,ZC_TABLES,XS
lkp_clr_country_2_base,ZC_TABLES,null
lkp_clr_county_base,ZC_TABLES,XS
lkp_clr_coverage_type_base,ZC_TABLES,XS
lkp_clr_crr_crit_status_base,ZC_TABLES,XS
lkp_clr_cust_attr_type_base,ZC_TABLES,XS
lkp_clr_death_loc_base,ZC_TABLES,null
lkp_clr_dea_class_code_base,ZC_TABLES,XS
lkp_clr_debit_or_credit_base,ZC_TABLES,XS
lkp_clr_def_bill_mthd_base,ZC_TABLES,XS
lkp_clr_delay_reason_base,ZC_TABLES,XS
lkp_clr_deleted_cat_base,ZC_TABLES,XS
lkp_clr_dep_rpt_grp_13_base,ZC_TABLES,XS
lkp_clr_dep_rpt_grp_14_base,ZC_TABLES,XS
lkp_clr_dep_specialty_base,ZC_TABLES,XS
lkp_clr_disch_dest_base,ZC_TABLES,XS
lkp_clr_disch_destin_base,ZC_TABLES,null
lkp_clr_disch_destin_ha_base,ZC_TABLES,XS
lkp_clr_disch_disp_base,ZC_TABLES,XS
lkp_clr_disp_enc_type_base,ZC_TABLES,XS
lkp_clr_document_source_base,ZC_TABLES,XS
lkp_clr_document_type_base,ZC_TABLES,XS
lkp_clr_doc_stat_base,ZC_TABLES,XS
lkp_clr_draft_status_base,ZC_TABLES,XS
lkp_clr_drg_case_type_base,ZC_TABLES,XS
lkp_clr_drg_code_set_base,ZC_TABLES,XS
lkp_clr_drg_complication_base,ZC_TABLES,XS
lkp_clr_drg_mdc_base,ZC_TABLES,XS
lkp_clr_dx_cc_ha_base,ZC_TABLES,XS
lkp_clr_dx_poa_base,ZC_TABLES,XS
lkp_clr_eap_rpt_grp_10_base,ZC_TABLES,XS
lkp_clr_eap_rpt_grp_11_base,ZC_TABLES,XS
lkp_clr_eap_rpt_grp_12_base,ZC_TABLES,XS
lkp_clr_eap_rpt_grp_13_base,ZC_TABLES,XS
lkp_clr_eap_rpt_grp_14_base,ZC_TABLES,XS
lkp_clr_eap_rpt_grp_15_base,ZC_TABLES,XS
lkp_clr_eap_rpt_grp_16_base,ZC_TABLES,XS
lkp_clr_eap_rpt_grp_17_base,ZC_TABLES,XS
lkp_clr_eap_rpt_grp_18_base,ZC_TABLES,XS
lkp_clr_eap_rpt_grp_19_base,ZC_TABLES,XS
lkp_clr_eap_rpt_grp_20_base,ZC_TABLES,XS
lkp_clr_eap_rpt_grp_8_base,ZC_TABLES,XS
lkp_clr_eap_rpt_grp_9_base,ZC_TABLES,XS
lkp_clr_eap_type_of_ser_base,ZC_TABLES,XS
lkp_clr_echkin_step_stat_base,ZC_TABLES,XS
lkp_clr_edg_code_set_base,ZC_TABLES,XS
lkp_clr_edg_record_type_base,ZC_TABLES,XS
lkp_clr_edu_level_base,ZC_TABLES,XS
lkp_clr_ed_disposition_base,ZC_TABLES,XS
lkp_clr_emerg_pat_rel_base,ZC_TABLES,XS
lkp_clr_empy_status_base,ZC_TABLES,XS
lkp_clr_emr_participant_base,ZC_TABLES,XS
lkp_clr_epm_rpt_grp_14_base,ZC_TABLES,XS
lkp_clr_epp_rpt_grp_10_base,ZC_TABLES,XS
lkp_clr_epp_rpt_grp_12_base,ZC_TABLES,XS
lkp_clr_epp_rpt_grp_15_base,ZC_TABLES,XS
lkp_clr_epp_rpt_grp_16_base,ZC_TABLES,XS
lkp_clr_epp_rpt_grp_17_base,ZC_TABLES,XS
lkp_clr_epp_rpt_grp_18_base,ZC_TABLES,XS
lkp_clr_epp_rpt_grp_6_base,ZC_TABLES,XS
lkp_clr_epp_rpt_grp_7_base,ZC_TABLES,XS
lkp_clr_epp_rpt_grp_8_base,ZC_TABLES,XS
lkp_clr_epp_rpt_grp_9_base,ZC_TABLES,XS
lkp_clr_erx_sp_med_type_base,ZC_TABLES,XS
lkp_clr_esc_reason_base,ZC_TABLES,XS
lkp_clr_es_audit_from_base,ZC_TABLES,XS
lkp_clr_ethnic_group_base,ZC_TABLES,XS
lkp_clr_event_source_base,ZC_TABLES,XS
lkp_clr_event_type_base,ZC_TABLES,XS
lkp_clr_evs_type_base,ZC_TABLES,XS
lkp_clr_external_ar_fla_base,ZC_TABLES,XS
lkp_clr_e_pmt_card_bran_base,ZC_TABLES,XS
lkp_clr_financial_class_base,ZC_TABLES,XS
lkp_clr_fin_asst_case_flag_base,ZC_TABLES,XS
lkp_clr_fin_asst_case_status_base,ZC_TABLES,XS
lkp_clr_fin_asst_case_status _base,ZC_TABLES,null
lkp_clr_fin_asst_denial_base,ZC_TABLES,null
lkp_clr_fin_asst_trkr_status_base,ZC_TABLES,XS
lkp_clr_fin_class_base,ZC_TABLES,XS
lkp_clr_flo_row_status_base,ZC_TABLES,XS
lkp_clr_form_base,ZC_TABLES,XS
lkp_clr_gender_identity_base,ZC_TABLES,XS
lkp_clr_guar_rel_to_pat_base,ZC_TABLES,XS
lkp_clr_hcd_code_set_base,ZC_TABLES,XS
lkp_clr_history_source_base,ZC_TABLES,XS
lkp_clr_hold_reason_2_base,ZC_TABLES,XS
lkp_clr_hosp_admsn_type_base,ZC_TABLES,XS
lkp_clr_hx_priority_base,ZC_TABLES,XS
lkp_clr_immnztn_status_base,ZC_TABLES,XS
lkp_clr_imm_type_base,ZC_TABLES,XS
lkp_clr_implant_action_base,ZC_TABLES,XS
lkp_clr_implant_area_base,ZC_TABLES,XS
lkp_clr_indigenous_stat_base,ZC_TABLES,XS
lkp_clr_inv_status_base,ZC_TABLES,XS
lkp_clr_lab_status_base,ZC_TABLES,XS
lkp_clr_language_base,ZC_TABLES,XS
lkp_clr_legal_stat_base,ZC_TABLES,null
lkp_clr_license_display_base,ZC_TABLES,XS
lkp_clr_license_display _base,ZC_TABLES,null
lkp_clr_log_type_base,ZC_TABLES,XS
lkp_clr_marital_status_base,ZC_TABLES,XS
lkp_clr_mar_rslt_base,ZC_TABLES,XS
lkp_clr_mc_adm_source_base,ZC_TABLES,XS
lkp_clr_mc_adm_type_base,ZC_TABLES,XS
lkp_clr_mc_pat_status_base,ZC_TABLES,XS
lkp_clr_med_is_configured_base,ZC_TABLES,XS
lkp_clr_med_unit_base,ZC_TABLES,XS
lkp_clr_mem_rel_to_guar_base,ZC_TABLES,XS
lkp_clr_mem_rel_to_sub_base,ZC_TABLES,XS
lkp_clr_mfg_base,ZC_TABLES,XS
lkp_clr_msdrg_family_base,ZC_TABLES,XS
lkp_clr_msg_priority_2_base,ZC_TABLES,XS
lkp_clr_mychart_status_base,ZC_TABLES,XS
lkp_clr_net_affil_level_base,ZC_TABLES,XS
lkp_clr_note_format_base,ZC_TABLES,XS
lkp_clr_note_ser_base,ZC_TABLES,XS
lkp_clr_note_status_base,ZC_TABLES,XS
lkp_clr_note_type_base,ZC_TABLES,XS
lkp_clr_note_type_ip_base,ZC_TABLES,XS
lkp_clr_ordering_mode_base,ZC_TABLES,XS
lkp_clr_order_class_base,ZC_TABLES,XS
lkp_clr_order_priority_base,ZC_TABLES,XS
lkp_clr_order_status_base,ZC_TABLES,XS
lkp_clr_order_type_base,ZC_TABLES,XS
lkp_clr_ord_appt_status_base,ZC_TABLES,XS
lkp_clr_or_adj_turnovr_rsn_base,ZC_TABLES,XS
lkp_clr_or_asa_rating_base,ZC_TABLES,XS
lkp_clr_or_block_base,ZC_TABLES,XS
lkp_clr_or_case_class_base,ZC_TABLES,XS
lkp_clr_or_delay_reason_base,ZC_TABLES,XS
lkp_clr_or_delay_type_base,ZC_TABLES,XS
lkp_clr_or_implant_type_base,ZC_TABLES,XS
lkp_clr_or_imp_status_base,ZC_TABLES,XS
lkp_clr_or_manufacturer_base,ZC_TABLES,XS
lkp_clr_or_service_base,ZC_TABLES,XS
lkp_clr_or_staff_typ_map_base,ZC_TABLES,XS
lkp_clr_or_status_base,ZC_TABLES,XS
lkp_clr_or_supplier_base,ZC_TABLES,XS
lkp_clr_or_type_of_item_base,ZC_TABLES,XS
lkp_clr_or_void_reason_base,ZC_TABLES,XS
lkp_clr_patient_race_base,ZC_TABLES,XS
lkp_clr_patient_status_base,ZC_TABLES,XS
lkp_clr_patient_type_base,ZC_TABLES,XS
lkp_clr_patmsg_priority_base,ZC_TABLES,XS
lkp_clr_pat_access_stat_base,ZC_TABLES,null
lkp_clr_pat_class_base,ZC_TABLES,XS
lkp_clr_pat_name_suffix_base,ZC_TABLES,XS
lkp_clr_pat_service_base,ZC_TABLES,XS
